jp_date,_1,_2,kr_date,_3,_4,kind,story
2025-11-12,,,2026-03-31,,,메인스토리,Vol.6 흘러간 시간들의 오라토리오 편 3장 사라지지 않는 것들을 위한 에클레시아 1~10
2026-01-18,,,2026-05-19,,,메인스토리,Ex. 데카그라마톤 편 3장 합일의 하늘 Part 1 1~9
2026-01-20,,,2026-05-26,,,메인스토리,Ex. 데카그라마톤 편 3장 합일의 하늘 Part 2 10
2026-01-20,,,,,,메인스토리,デカグラマトン編 第3章 10話後イベント(1話～23話)
2026-01-29,,,,,,메인스토리,デカグラマトン編 第3章 上記後イベント(24話～26話)
2026-02-11,,,,,,메인스토리,Ex. 데카그라마톤 편 3장 합일의 하늘 Part 3 11
2026-02-12,,,,,,메인스토리,Ex. 데카그라마톤 편 3장 합일의 하늘 Part 4 12~21
2026-02-12,,,,,,메인스토리,デカグラマトン編 第3章 21話後イベント(27話～29話)
2026-02-16,,,,,,메인스토리,Ex. 데카그라마톤 편 3장 합일의 하늘 Part 4 22~26
2026-04-21,,,,,,메인스토리,프롤로그 1~4
2026-04-21,,,,,,메인스토리,Vol.0 총학생회 편 1장 살구꽃이 피는 어느 봄날에 1~10
2026-04-21,,,,,,메인스토리,Ex. 로어추적 편 1장 정오의 아지랑이 1~11
2026-05-27,,,,,,메인스토리,Ex. 로어추적 편 2장 드럼통 속에 있는 것 1~11
